method,config,response,nrmse_mean,nrmse_std
CP,T16_n200,y1,0.4167575924951785,0.046026140558038234
CP,T16_n200,y2,0.4316649810927295,0.0388739011438198
CP,T16_n200,y3,0.41795407416482383,0.0448119832111254
CP,T16_n200,y4,0.900337960807293,0.09648725810935799
CP,T16_n200,y5,1.2142450185542766,0.1556287270586833
CP,T16_n200,y6,1.030461057678343,0.08551434344607484
CP,T16_n400,y1,0.33584237546593343,0.018014245727514786
CP,T16_n400,y2,0.348092955133827,0.022171012267605445
CP,T16_n400,y3,0.340996061768749,0.018375028385190485
CP,T16_n400,y4,0.7099488985934755,0.03950086240783696
CP,T16_n400,y5,0.8528133985071833,0.04864963534164006
CP,T16_n400,y6,0.8105403929437338,0.059080269028938565
CP,T32_n200,y1,0.4572009666133217,0.039361804802157174
CP,T32_n200,y2,0.4763257528561448,0.04551466660507576
CP,T32_n200,y3,0.4877350956584294,0.0780889349355853
CP,T32_n200,y4,1.0469595954361268,0.11616272436518094
CP,T32_n200,y5,1.394640160108596,0.17649016774329523
CP,T32_n200,y6,1.0338132193804146,0.08753919610509678
CP,T32_n400,y1,0.38105296802533595,0.024455341908247767
CP,T32_n400,y2,0.40418422826460443,0.026000905552046576
CP,T32_n400,y3,0.3932497472339266,0.031985633122318315
CP,T32_n400,y4,0.8278405023854926,0.06463772346534892
CP,T32_n400,y5,1.143202488155507,0.11346608244551597
CP,T32_n400,y6,0.9308684243867448,0.06588745772763967
